DIVIPOLA 2011  (VIVIENDAS, HOGARES Y PERSONAS 2005);Clase;Departamento;Municipio;Nombre centro;Tipo;Manzanas;Viviendas;Hogares;Personas;Grados;Minutos;Segundos;Latitud;grados;minutos;segundos;Longitud;geo_point
735633000;3;TOLIMA;PRADO;PRADO;R;0.0;1785.0;1437.0;5179.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
440901000;1;LA GUAJIRA;DIBULLA;DIBULLA;CM;75.0;745.0;708.0;3117.0;-73.0;18.0;25.95311172;;11.0;15.0;55.521081;11.2654225225;-73.3072091977,11.2654225225
543442008;2;NORTE DE SANTANDER;HACARI;SAN JOSE DEL TARRA;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
543442010;2;NORTE DE SANTANDER;HACARI;LOS LAURELES;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
688612022;2;SANTANDER;VELEZ;LOMALTA;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
735852006;2;TOLIMA;PURIFICACION;VILLA ESPERANZA;CAS;9.0;41.0;35.0;122.0;-74.0;43.0;23.2696758;;3.0;48.0;23.435492472;3.80650985902;-74.7231304655,3.80650985902
688612024;2;SANTANDER;VELEZ;LOS GUAYABOS;CAS;2.0;31.0;34.0;140.0;-73.0;39.0;33.08072112;;5.0;58.0;40.04885532;5.9777913487;-73.6591890892,5.9777913487
440902006;2;LA GUAJIRA;DIBULLA;RIO ANCHO;IP;30.0;249.0;234.0;1144.0;-73.0;27.0;44.27747064;;11.0;12.0;3.83480388;11.2010652233;-73.4622992974,11.2010652233
543771000;1;NORTE DE SANTANDER;LABATECA;LABATECA;CM;34.0;339.0;343.0;1291.0;-72.0;29.0;47.49558504;;7.0;17.0;53.750403168;7.29826400088;-72.4965265514,7.29826400088
735852015;2;TOLIMA;PURIFICACION;BUENAVISTA;CAS;3.0;67.0;65.0;261.0;-74.0;54.0;48.76515;;3.0;50.0;11.09341086;3.83641483635;-74.913545875,3.83641483635
440982001;2;LA GUAJIRA;DISTRACCION;BUENAVISTA;C;23.0;260.0;259.0;1460.0;-72.0;53.0;37.14047016;;10.0;52.0;54.06570012;10.8816849167;-72.8936501306,10.8816849167
440982002;2;LA GUAJIRA;DISTRACCION;CHORRERAS;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
688672003;2;SANTANDER;VETAS;VOLCAN;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
735852019;2;TOLIMA;PURIFICACION;CHENCHE TRES;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
543851000;1;NORTE DE SANTANDER;LA ESPERANZA;LA ESPERANZA;CM;49.0;307.0;331.0;1341.0;-73.0;19.0;31.49344272;;7.0;38.0;40.788304116;7.64466341781;-73.3254148452,7.64466341781
735853000;3;TOLIMA;PURIFICACION;PURIFICACION;R;0.0;2479.0;2432.0;8840.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
688723000;3;SANTANDER;VILLANUEVA;VILLANUEVA;R;0.0;924.0;792.0;3331.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
688951000;1;SANTANDER;ZAPATOCA;ZAPATOCA;CM;188.0;1844.0;1678.0;5684.0;-73.0;16.0;19.4269062;;6.0;48.0;54.220016736;6.81506111576;-73.2720630295,6.81506111576
736162002;2;TOLIMA;RIOBLANCO;PUERTO SALDAÑA;IPD;24.0;33.0;23.0;97.0;-75.0;42.0;34.764894;;3.0;23.0;11.429856276;3.38650829341;-75.709656915,3.38650829341
736162006;2;TOLIMA;RIOBLANCO;MARACAIBO;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
543852006;2;NORTE DE SANTANDER;LA ESPERANZA;LA RAYA;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
442792007;2;LA GUAJIRA;FONSECA;CARDONAL;IP;6.0;25.0;25.0;108.0;-72.0;52.0;13.095884999999999;;10.0;51.0;36.59463468;10.8601651763;-72.8703044125,10.8601651763
736221000;1;TOLIMA;RONCESVALLES;RONCESVALLES;CM;39.0;523.0;471.0;1727.0;-75.0;36.0;23.89882032;;4.0;0.0;37.109153556;4.01030809821;-75.6066385612,4.01030809821
